Price,Carat,X,Y,Z,Depth,Table
554,0.24,3.95,3.92,2.45,62.3,59.0
2932,0.7,5.71,5.62,3.51,62.0,61.0
3105,0.7,5.75,5.68,3.5,61.2,56.0
3145,0.74,5.84,5.79,3.56,61.2,59.0
3234,0.7,5.68,5.62,3.55,62.8,58.0
6890,1.04,6.71,6.66,3.89,58.2,60.0
7389,1.25,6.96,6.87,4.29,62.0,58.0
7644,1.0,6.37,6.35,3.9,61.3,62.0
7797,1.02,6.43,6.4,4.04,63.0,58.0
7848,1.0,6.39,6.32,4.0,62.9,53.0
8005,1.02,6.39,6.36,3.96,62.1,59.0
8008,1.0,6.29,6.4,3.94,62.1,59.0
8154,1.0,6.4,6.29,3.94,62.1,59.0
8170,1.06,6.53,6.57,4.0,61.1,58.0
8219,1.12,6.91,6.78,4.03,58.9,60.0
8281,1.25,7.1,7.05,4.12,58.2,61.0
8319,1.06,6.57,6.53,4.0,61.1,58.0
8561,1.12,6.72,6.67,4.08,60.9,57.0
8709,1.13,6.79,6.87,4.05,59.3,59.0
8768,1.02,6.67,6.58,3.84,58.0,61.0
8863,1.15,6.74,6.77,4.11,60.8,58.0
8868,1.13,6.87,6.79,4.05,59.3,59.0
9003,1.21,6.92,6.85,4.14,60.1,61.0
9025,1.15,6.77,6.74,4.11,60.8,58.0
10485,1.24,7.02,7.01,4.24,60.4,59.0
11061,1.3,7.01,7.05,4.25,60.5,60.0
11162,1.3,7.05,7.01,4.25,60.5,60.0
11717,1.16,6.85,6.72,4.18,61.6,55.0
12498,1.52,7.32,7.35,4.6,62.7,59.0
15420,1.51,7.33,7.3,4.55,62.2,58.0
15959,1.52,7.38,7.48,4.49,60.4,59.0
16104,1.52,7.48,7.38,4.49,60.4,59.0
16451,1.53,7.45,7.49,4.53,60.6,58.0
16601,1.53,7.49,7.45,4.53,60.6,58.0
17204,1.6,7.48,7.58,4.63,61.5,58.0
17360,1.6,7.58,7.48,4.63,61.5,58.0
669,0.29,4.23,4.19,2.61,62.0,58.0
737,0.3,4.29,4.33,2.64,61.3,58.0
789,0.3,4.28,4.33,2.66,61.8,59.0
789,0.3,4.33,4.36,2.63,60.5,59.0
789,0.3,4.34,4.36,2.64,60.7,58.0
789,0.3,4.27,4.29,2.68,62.6,58.0
789,0.3,4.33,4.37,2.64,60.7,59.0
789,0.3,4.26,4.3,2.64,61.7,58.0
810,0.33,4.42,4.46,2.73,61.5,59.0
816,0.31,4.32,4.35,2.65,61.1,58.0
816,0.31,4.37,4.4,2.66,60.7,58.0
816,0.31,4.34,4.39,2.71,62.1,59.0
816,0.31,4.3,4.32,2.68,62.2,59.0
816,0.31,4.32,4.34,2.65,61.2,59.0
816,0.31,4.32,4.35,2.66,61.4,58.0
816,0.31,4.39,4.41,2.62,59.5,60.0
816,0.31,4.33,4.4,2.64,60.5,60.0
816,0.31,4.38,4.43,2.65,60.2,59.0
842,0.32,4.38,4.41,2.75,62.6,58.0
868,0.33,4.46,4.5,2.73,60.9,60.0
868,0.33,4.44,4.47,2.69,60.4,59.0
868,0.33,4.4,4.43,2.74,62.1,58.0
868,0.33,4.38,4.41,2.72,61.9,59.0
868,0.33,4.43,4.47,2.71,60.9,58.0
905,0.3,4.31,4.25,2.67,62.4,59.0
945,0.3,4.36,4.33,2.6,59.8,62.0
945,0.3,4.33,4.29,2.64,61.3,58.0
945,0.3,4.26,4.21,2.65,62.6,62.0
977,0.31,4.47,4.42,2.58,58.0,62.0
977,0.31,4.41,4.35,2.62,59.8,62.0
984,0.35,4.62,4.58,2.73,59.3,61.0
1013,0.3,4.35,4.33,2.63,60.6,61.0
1013,0.3,4.36,4.33,2.63,60.5,59.0
1013,0.3,4.37,4.33,2.64,60.7,59.0
1013,0.3,4.36,4.34,2.64,60.7,58.0
1013,0.3,4.31,4.29,2.67,62.1,56.0
1013,0.3,4.31,4.28,2.66,61.9,59.0
1013,0.3,4.33,4.28,2.66,61.8,59.0
1013,0.3,4.29,4.27,2.67,62.4,57.0
1013,0.3,4.29,4.27,2.68,62.6,58.0
1013,0.3,4.3,4.27,2.66,62.1,61.0
1013,0.3,4.3,4.27,2.69,62.8,58.0
1013,0.3,4.3,4.26,2.64,61.7,58.0
1013,0.3,4.27,4.22,2.66,62.7,59.0
1040,0.33,4.46,4.42,2.73,61.5,59.0
1046,0.31,4.43,4.38,2.65,60.2,59.0
1046,0.31,4.41,4.39,2.62,59.5,60.0
1046,0.31,4.4,4.37,2.66,60.7,58.0
1046,0.31,4.41,4.37,2.65,60.4,59.0
1046,0.31,4.39,4.34,2.71,62.1,59.0
1046,0.31,4.37,4.35,2.61,59.9,62.0
1046,0.31,4.4,4.33,2.64,60.5,60.0
1046,0.31,4.35,4.32,2.66,61.4,58.0
1046,0.31,4.35,4.32,2.69,62.1,59.0
1046,0.31,4.34,4.32,2.65,61.2,59.0
1046,0.31,4.35,4.32,2.65,61.1,58.0
1046,0.31,4.4,4.3,2.72,62.5,57.0
1046,0.31,4.32,4.3,2.68,62.2,59.0
1046,0.31,4.31,4.28,2.69,62.6,61.0
1046,0.31,4.32,4.29,2.71,63.0,58.0
1064,0.38,4.68,4.62,2.85,61.3,57.0
1071,0.34,4.6,4.56,2.7,59.0,62.0
1074,0.41,4.83,4.85,2.89,59.7,60.0
1080,0.32,4.53,4.49,2.62,58.1,59.0
1080,0.32,4.4,4.37,2.67,60.9,61.0
1080,0.32,4.41,4.38,2.75,62.6,58.0
1080,0.32,4.39,4.36,2.71,61.9,58.0
1095,0.39,4.73,4.75,2.84,59.9,59.0
1095,0.39,4.72,4.75,2.86,60.4,59.0
1103,0.35,4.53,4.5,2.79,61.8,57.0
1114,0.33,4.5,4.46,2.73,60.9,60.0
1114,0.33,4.47,4.43,2.71,60.9,58.0
1114,0.33,4.47,4.44,2.69,60.4,59.0
1114,0.33,4.44,4.42,2.71,61.2,60.0
1114,0.33,4.41,4.38,2.72,61.9,59.0
1114,0.33,4.44,4.38,2.77,62.8,59.0
1114,0.33,4.44,4.39,2.71,61.4,60.0
1114,0.33,4.43,4.4,2.74,62.1,58.0
1122,0.34,4.5,4.47,2.76,61.5,59.0
1123,0.4,4.66,4.72,2.92,62.3,58.0
1123,0.4,4.69,4.74,2.9,61.5,58.0
1148,0.41,4.85,4.83,2.89,59.7,60.0
1151,0.41,4.79,4.83,2.88,59.9,59.0
1155,0.4,4.83,4.79,2.9,60.3,58.0
1170,0.39,4.75,4.73,2.84,59.9,59.0
1170,0.39,4.75,4.72,2.86,60.4,59.0
1179,0.42,4.82,4.84,2.91,60.2,59.0
1179,0.42,4.85,4.88,2.91,59.8,58.0
1179,0.42,4.9,4.92,2.91,59.3,59.0
1179,0.42,4.74,4.79,2.99,62.7,58.0
1200,0.4,4.74,4.69,2.9,61.5,58.0
1200,0.4,4.8,4.76,2.91,60.9,57.0
1200,0.4,4.72,4.66,2.92,62.3,58.0
1200,0.4,4.71,4.69,2.9,61.7,58.0
1207,0.43,4.8,4.82,2.98,62.0,59.0
1207,0.43,4.87,4.91,2.95,60.3,58.0
1207,0.43,4.88,4.91,2.98,60.9,58.0
1207,0.43,4.78,4.83,2.99,62.2,58.0
1230,0.41,4.84,4.83,2.9,60.0,59.0
1230,0.41,4.83,4.79,2.88,59.9,59.0
1230,0.41,4.75,4.72,2.89,61.0,61.0
1230,0.41,4.78,4.74,2.87,60.3,60.0
1235,0.44,4.9,4.96,3.0,60.9,59.0
1235,0.42,4.88,4.85,2.91,59.8,58.0
1235,0.42,4.92,4.9,2.91,59.3,59.0
1235,0.42,4.84,4.82,2.91,60.2,59.0
1235,0.42,4.79,4.74,2.99,62.7,58.0
1263,0.45,4.92,4.98,3.01,60.8,58.0
1264,0.43,4.91,4.87,2.95,60.3,58.0
1264,0.43,4.91,4.88,2.98,60.9,58.0
1264,0.43,4.83,4.77,2.99,62.3,59.0
1264,0.43,4.83,4.78,2.99,62.2,58.0
1264,0.43,4.82,4.8,2.98,62.0,59.0
1264,0.43,4.87,4.85,2.98,61.3,57.0
1294,0.44,4.96,4.9,3.0,60.9,59.0
1323,0.45,4.97,4.95,2.98,60.1,58.0
1323,0.45,4.98,4.92,3.01,60.8,58.0
531,0.23,3.96,3.94,2.42,61.3,59.0
1925,0.51,5.2,5.24,3.14,60.2,58.0
1925,0.51,5.09,5.13,3.19,62.4,58.0
1966,0.5,5.08,5.12,3.11,61.0,60.0
1971,0.51,5.12,5.08,3.14,61.6,59.0
1987,0.5,5.15,5.07,3.13,61.3,57.0
2027,0.51,5.13,5.09,3.19,62.4,58.0
2027,0.51,5.24,5.2,3.14,60.2,58.0
2070,0.5,5.12,5.08,3.11,61.0,60.0
2070,0.5,5.04,5.01,3.13,62.3,59.0
2111,0.51,5.35,5.16,3.16,60.1,56.0
2153,0.52,5.13,5.11,3.17,61.9,61.0
2153,0.52,5.31,5.28,3.14,59.2,58.0
2167,0.56,5.41,5.35,3.21,59.7,59.0
2236,0.54,5.3,5.25,3.2,60.7,56.0
2444,0.6,5.53,5.43,3.29,60.0,58.0
2510,0.65,5.59,5.47,3.28,59.3,57.0
2694,0.71,5.71,5.67,3.57,62.7,58.0
