IPERE,Menage,M_AUTO,M_PERS,M_DOMSM,M_revenu,M_dist_train,M_dist_metro,M_dist_centre,M_emploiTC,P_RANG,P_SEXE,P_AGE,P_GRAGE,P_STATUT,P_PERMIS,D_HREDE,D_MOTIF
154,1000100,2,2,401,6,4.194136745,13.73449381,28.54504065,7705,1,2,52,11,1,1,640,1
175,1000106,1,4,105,3,1.974040121,0.760866558,6.233392615,757050,2,1,42,9,1,1,900,1
270,1000156,1,3,121,5,2.043444036,0.4432942863,5.144389754,822890,1,2,44,9,1,1,800,1
298,1000163,1,3,110,4,6.698468676,1.227765058,6.698468676,623530,3,2,8,2,3,5,730,4
301,1000170,1,4,107,7,0.7749488241,0.7027664856,6.678879748,739870,1,2,36,8,1,2,830,1
306,1000170,1,4,107,7,0.7749488241,0.7027664856,6.678879748,739870,3,1,16,4,3,1,800,4
347,1000207,1,3,403,4,6.162146031,5.589472752,19.411967379999997,74130,2,1,33,7,1,1,800,1
357,1000212,1,4,127,7,4.897655923,0.5333776062,5.469402219,622805,3,2,16,4,3,2,745,4
414,1000259,2,2,110,3,6.8527044749999995,1.4049594090000002,6.8527044749999995,577475,1,2,42,9,1,1,700,1
483,1000285,1,3,611,6,28.12856607,17.87476469,29.46098907,17120,1,2,45,10,1,1,745,1
508,1000296,1,2,118,2,6.127843916,4.310390477,13.145724560000001,427725,2,1,48,10,1,1,2230,1
520,1000298,3,4,405,2,1.8770233189999999,6.678686844,19.21395768,35980,4,1,14,3,3,5,645,4
575,1000342,0,3,112,2,13.30023416,1.7268625,13.30023416,247625,2,2,33,7,1,1,610,1
583,1000345,3,3,108,4,2.186930127,3.563604075,12.98221899,151490,3,1,20,5,3,1,730,4
585,1000346,1,1,544,2,2.726831936,19.69692037,21.17046286,14020,1,1,45,10,1,1,630,1
599,1000352,1,3,111,4,6.071018783,0.9335630697,6.071018783,608225,3,2,13,3,3,5,900,4
718,1000413,2,4,561,2,27.262285220000003,45.84397804,47.317520519999995,370,4,2,5,2,3,5,720,4
720,1000418,0,2,102,1,2.6834039400000003,0.1542989257,2.6834039400000003,777460,1,2,59,12,1,2,815,1
739,1000434,1,3,108,4,3.622644344,1.957870979,12.34913942,603270,2,2,52,11,1,1,830,1
794,1000483,2,3,407,3,7.5822332370000005,6.4284419559999995,18.05159603,75465,1,2,42,9,1,1,800,1
800,1000484,3,3,113,3,20.012360479999998,9.758559096,21.344783479999997,24745,1,2,41,9,1,1,730,1
854,1000514,3,2,633,3,3.377913698,20.13209323,33.97809205,4775,2,2,56,12,1,1,600,1
870,1000521,1,4,136,7,5.4602074929999995,19.25572436,29.899344890000002,26960,2,1,51,11,1,1,1500,1
874,1000521,1,4,136,7,5.4602074929999995,19.25572436,29.899344890000002,26960,4,1,25,6,1,1,900,1
872,1000521,1,4,136,7,5.4602074929999995,19.25572436,29.899344890000002,26960,3,1,30,7,1,1,1130,1
883,1000525,5,2,116,6,10.98174827,4.496759921,14.821106499999999,111495,2,2,41,9,1,1,600,1
917,1000569,2,3,403,5,8.821147154,7.219646406,22.10171801,80420,1,1,45,10,1,1,1100,1
942,1000581,4,3,113,3,19.23141315,8.749574422,20.25144493,24745,1,1,17,4,3,1,700,4
957,1000586,1,2,127,7,3.816694099,0.5313285921,4.492819905999999,630680,2,2,28,6,3,1,830,4
960,1000588,1,3,128,2,2.680428751,3.745186099,10.694272349999999,256520,1,1,43,9,1,1,700,1
1017,1000614,2,4,138,5,0.3565449126,17.860272990000002,27.83005952,92680,4,1,21,5,3,1,700,4
1015,1000614,2,4,138,5,0.3565449126,17.860272990000002,27.83005952,92680,3,2,20,5,3,1,730,4
1051,1000621,1,2,643,2,2.529873905,15.29241056,31.504995599999997,22500,1,1,60,13,1,1,630,1
1076,1000631,3,4,113,3,21.60287429,11.3490729,22.93529728,24745,1,1,42,9,1,1,730,1
1091,1000656,0,1,110,2,7.036736177,2.5768319969999998,10.50375732,553980,1,1,52,11,1,1,800,1
1149,1000711,1,1,111,3,7.533943302,1.6552566770000001,7.533943302,466715,1,2,51,11,1,1,855,1
1173,1000725,1,3,113,3,20.01217826,9.758376879,21.34460126,24745,3,1,19,4,3,2,1100,4
1190,1000740,2,2,128,4,3.651414022,2.595414522,9.833667314,310840,2,1,50,11,1,1,515,1
1217,1000749,2,2,129,3,2.507068241,7.243735974,12.26532775,103995,2,2,50,11,1,1,1000,1
1219,1000755,1,2,302,1,9.844434882,7.113336559,12.54145405,53260,1,2,53,11,1,2,630,1
1230,1000757,2,4,103,5,1.7106179259999998,0.7546316832,3.9388618099999997,646215,4,1,7,2,3,5,800,4
1268,1000775,0,4,107,4,2.710268298,0.4610802812,8.338914966,899370,4,2,6,2,3,5,740,4
1285,1000782,2,4,119,2,2.8052682329999996,1.7722014529999999,12.43939205,625750,2,1,44,9,1,1,700,1
1290,1000788,3,4,113,3,18.70252357,8.228241508,19.81446589,56425,1,1,50,11,1,1,800,1
1296,1000788,3,4,113,3,18.70252357,8.228241508,19.81446589,56425,4,2,21,5,1,1,800,1
1300,1000792,3,3,643,7,2.662288978,15.53747525,31.75006029,22500,2,1,54,11,1,1,800,1
1298,1000792,3,3,643,7,2.662288978,15.53747525,31.75006029,22500,1,2,46,10,2,1,615,1
1341,1000812,3,3,611,4,31.44703418,21.1932328,32.779457179999994,13540,3,2,20,5,3,1,1800,1
1333,1000812,3,3,611,4,31.44703418,21.1932328,32.779457179999994,13540,1,2,50,11,1,1,600,1
1398,1000855,2,4,131,5,1.2776483140000001,14.87493435,20.40546303,27970,2,2,46,10,1,1,800,1
1451,1000916,2,2,641,6,2.639531623,12.47910643,28.691691470000002,23025,2,2,48,10,1,1,800,1
1457,1000922,1,4,108,5,2.461227898,0.7964545331,11.473056360000001,739490,2,1,52,11,1,1,830,1
1537,1000990,2,3,511,4,31.45071106,37.4088061,41.11095455,17365,1,1,45,10,1,1,700,1
1547,1000998,2,2,105,8,1.184238911,0.965181389,5.661286293,611070,2,1,73,15,1,1,845,1
1555,1001007,3,3,544,6,1.455437502,20.99255111,22.46609359,7280,2,1,19,4,3,1,700,4
1576,1001029,1,2,117,3,7.498422372,3.333038244,12.13659281,161435,1,1,39,8,2,1,600,4
1661,1001071,1,5,119,5,1.822029192,0.3385411257,10.375543019999999,732520,3,1,9,2,3,5,700,4
1662,1001071,1,5,119,5,1.822029192,0.3385411257,10.375543019999999,732520,4,1,7,2,3,5,700,4
1711,1001082,2,4,103,2,1.320323054,0.4779325357,2.159136792,804815,3,2,5,2,3,5,730,4
1716,1001089,1,3,104,8,1.9150611530000001,2.1960098269999997,6.801273457000001,573100,2,1,50,11,1,1,800,1
1817,1001124,2,2,111,5,7.165608712999999,1.5897708210000001,7.165608712999999,466715,2,1,50,11,1,1,900,1
1825,1001125,2,4,307,4,4.096844676,7.302952306,11.7108274,38450,3,1,17,4,3,1,745,4
1896,1001169,2,4,644,4,1.144295533,12.96308908,29.17567412,48590,4,1,64,13,1,1,600,1
1945,1001191,2,4,611,3,27.15877119,16.904969809999997,28.491194189999998,4295,3,2,12,3,3,5,830,4
2051,1001252,5,5,645,3,15.95416433,30.80655962,41.93214519,2305,4,1,20,5,1,1,530,1
2048,1001252,5,5,645,3,15.95416433,30.80655962,41.93214519,2305,2,2,49,10,2,1,830,1
2076,1001294,1,3,111,2,6.294413276999999,1.2638472779999999,6.294413276999999,608225,2,1,52,11,1,1,500,1
