Date,Duration,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-06-01,0.0,69.0,100.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
2013-06-02,0.0,27.0,32.0,33.0,35.0,64.0,96.0,117.0,123.0,123.0,179.0,240.0
2013-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0.0,5.0,7.0,9.0,12.0,19.0,26.0,28.0,41.0,45.0,45.0,45.0
2013-06-08,0.0,14.0,20.0,24.0,29.0,43.0,50.0,56.0,64.0,69.0,72.0,102.0
2013-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,61.0
2013-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,13.0,18.0,32.0,43.0,54.0,87.0,118.0,143.0,176.0,206.0,260.0,312.0
2013-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-16,0.0,9.0,17.0,23.0,31.0,55.0,69.0,82.0,102.0,102.0,102.0,102.0
2013-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,102.0,102.0
2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-22,0.0,10.0,15.0,18.0,23.0,37.0,53.0,67.0,81.0,85.0,113.0,119.0
2013-06-24,0.0,16.0,21.0,26.0,29.0,34.0,36.0,36.0,36.0,36.0,36.0,65.0
2013-06-25,0.0,34.0,40.0,40.0,40.0,42.0,42.0,42.0,44.0,44.0,44.0,78.0
2013-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,44.0
2013-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,0.0,24.0,45.0,60.0,74.0,92.0,102.0,121.0,145.0,162.0,172.0,174.0
2013-06-29,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,29.0,176.0
2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2014-05-03,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0
